full_name,stars,forks,open_issues,created_at,pushed_at,language,license,description
DeepLabCut/DeepLabCut,5714,1793,35,2018-03-26T22:29:12Z,2026-07-22T14:09:04Z,Python,GNU Lesser General Public License v3.0,Official implementation of DeepLabCut: Markerless pose estimation of user-defined features with deep learning for all animals incl. humans
alexlenail/NN-SVG,5685,750,27,2015-12-17T06:43:51Z,2026-06-02T12:07:58Z,JavaScript,MIT License,Publication-ready NN-architecture schematics. 
mlpack/mlpack,5682,1718,17,2014-12-17T18:16:59Z,2026-07-22T11:04:56Z,C++,Other,"mlpack: a fast, header-only C++ machine learning library"
facebookresearch/mmf,5634,941,150,2018-06-27T04:52:40Z,2026-07-07T21:35:07Z,Python,Other,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR)
lucidrains/DALLE-pytorch,5628,644,125,2021-01-05T20:35:16Z,2024-02-17T21:42:10Z,Python,MIT License,"Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in Pytorch"
Fanghua-Yu/SUPIR,5625,475,118,2023-12-21T11:23:35Z,2025-05-12T09:49:11Z,Python,Other,SUPIR aims at developing Practical Algorithms for Photo-Realistic Image Restoration In the Wild. Our new online demo is also released at suppixel.ai.
hzwer/ECCV2022-RIFE,5536,559,71,2020-11-12T05:46:23Z,2025-09-10T06:32:03Z,Python,MIT License,ECCV2022 - Real-Time Intermediate Flow Estimation for Video Frame Interpolation
udacity/deep-learning-v2-pytorch,5510,5323,17,2018-09-04T17:53:50Z,2023-06-27T01:54:55Z,Jupyter Notebook,MIT License,Projects and exercises for the latest Deep Learning ND program https://www.udacity.com/course/deep-learning-nanodegree--nd101
zenml-io/zenml,5509,638,146,2020-11-19T09:25:46Z,2026-07-22T13:33:29Z,Python,Apache License 2.0,ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.
mosaicml/composer,5489,465,63,2021-10-12T02:38:28Z,2026-04-29T18:58:33Z,Python,Apache License 2.0,Supercharge Your Model Training
wb14123/seq2seq-couplet,5486,1060,12,2018-02-24T02:44:52Z,2024-07-25T02:24:32Z,Python,GNU Affero General Public License v3.0,Play couplet with seq2seq model. 用深度学习对对联。
LaurentMazare/tch-rs,5453,443,244,2019-02-16T21:08:44Z,2026-07-17T20:09:52Z,Rust,Apache License 2.0,Rust bindings for the C++ api of PyTorch.
flashlight/flashlight,5449,501,126,2018-12-11T18:28:47Z,2026-06-22T00:07:38Z,C++,MIT License,A C++ standalone library for machine learning
obss/sahi,5417,766,4,2021-01-30T12:54:53Z,2026-07-22T15:50:59Z,Python,MIT License,Framework agnostic sliced/tiled inference + interactive ui + error analysis plots
google-deepmind/graph_nets,5403,776,9,2018-08-31T08:19:28Z,2022-12-12T11:28:07Z,Python,Apache License 2.0,Build Graph Nets in Tensorflow
mbadry1/DeepLearning.ai-Summary,5329,2433,12,2017-11-12T15:08:34Z,2026-06-27T21:09:36Z,Python,MIT License,This repository contains my personal notes and summaries on DeepLearning.ai specialization courses. I've enjoyed every little bit of the course hope you enjoy my notes too.
ashleve/lightning-hydra-template,5320,761,82,2020-11-04T14:30:09Z,2026-06-11T21:52:45Z,Python,,PyTorch Lightning + Hydra. A very user-friendly template for ML experimentation.  ⚡🔥⚡
rasbt/machine-learning-book,5280,1827,25,2021-12-19T00:32:59Z,2026-06-15T14:33:04Z,Jupyter Notebook,MIT License,Code Repository for Machine Learning with PyTorch and Scikit-Learn
louisfb01/start-machine-learning,5279,700,4,2020-09-24T11:48:46Z,2026-01-23T19:51:33Z,,MIT License,"A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2026 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!"
roboflow/sports,5236,642,48,2024-05-13T14:51:16Z,2026-07-22T16:33:40Z,Python,MIT License,computer vision and sports
microsoft/SynapseML,5233,863,392,2017-06-05T08:23:44Z,2026-07-06T22:32:56Z,Scala,MIT License,Simple and Distributed Machine Learning
deep-learning-with-pytorch/dlwpt-code,5231,2152,81,2018-03-31T22:58:20Z,2024-07-25T10:58:29Z,Jupyter Notebook,,"Code for the book Deep Learning with PyTorch by Eli Stevens, Luca Antiga, and Thomas Viehmann."
awslabs/gluonts,5222,823,469,2019-05-15T17:17:29Z,2026-07-22T11:58:18Z,Python,Apache License 2.0,Probabilistic time series modeling in Python
amdegroot/ssd.pytorch,5221,1724,380,2017-02-08T01:50:36Z,2021-12-29T03:19:26Z,Python,MIT License,A PyTorch Implementation of Single Shot MultiBox Detector
sacridini/Awesome-Geospatial,5218,759,0,2016-05-06T18:05:42Z,2026-07-21T15:45:28Z,,Creative Commons Zero v1.0 Universal,Long list of geospatial tools and resources
tensorspace-team/tensorspace,5188,450,28,2018-07-22T14:14:29Z,2022-12-05T22:21:36Z,JavaScript,Apache License 2.0,"Neural network 3D visualization framework, build interactive and intuitive model in browsers, support pre-trained deep learning models from TensorFlow, Keras, TensorFlow.js "
sql-machine-learning/sqlflow,5187,704,250,2018-10-04T06:00:50Z,2024-04-18T08:08:51Z,Go,Apache License 2.0,Brings SQL and AI together.
ashnkumar/sketch-code,5141,681,29,2018-01-19T21:44:13Z,2024-04-05T09:48:18Z,Python,,Keras model to generate HTML code from hand-drawn website mockups. Implements an image captioning architecture to drawn source images.
mdbloice/Augmentor,5134,873,141,2016-03-01T18:29:55Z,2024-03-21T14:27:34Z,Python,MIT License,Image augmentation library in Python for machine learning.
ZheC/Realtime_Multi-Person_Pose_Estimation,5123,1351,107,2016-12-12T17:40:12Z,2020-03-21T13:01:08Z,Jupyter Notebook,Other,Code repo for realtime multi-person pose estimation in CVPR'17 (Oral)
open-mmlab/mmaction2,5101,1360,317,2020-07-11T07:19:10Z,2026-03-18T04:04:49Z,Python,Apache License 2.0,OpenMMLab's Next Generation Video Understanding Toolbox and Benchmark
naganandy/graph-based-deep-learning-literature,5088,781,0,2017-12-01T14:48:35Z,2026-06-07T20:24:09Z,Jupyter Notebook,MIT License,links to conference publications in graph-based deep learning
AutoGPTQ/AutoGPTQ,5074,541,272,2023-04-13T02:18:11Z,2025-04-11T13:27:20Z,Python,MIT License,"An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm."
cmhungsteve/Awesome-Transformer-Attention,5050,497,23,2021-09-15T07:16:24Z,2024-07-30T06:57:18Z,,,"An ultimately comprehensive paper list of Vision Transformer/Attention, including papers, codes, and related websites"
zuruoke/watermark-removal,5046,578,38,2021-11-04T07:27:37Z,2026-06-05T04:36:40Z,Python,,a machine learning image inpainting task that instinctively removes watermarks from image indistinguishable from the ground truth image 
XiaoMi/mace,5042,822,62,2018-06-27T03:50:12Z,2024-06-17T09:17:33Z,C++,Apache License 2.0,MACE is a deep learning inference framework optimized for mobile heterogeneous computing platforms.
rasbt/python-machine-learning-book-3rd-edition,5033,2062,26,2019-06-07T04:19:59Z,2023-04-19T08:03:29Z,Jupyter Notebook,MIT License,"The ""Python Machine Learning (3rd edition)"" book code repository"
Nyandwi/machine_learning_complete,5030,837,2,2021-09-25T11:02:35Z,2023-09-22T22:11:36Z,Jupyter Notebook,MIT License,"A comprehensive machine learning repository containing 30+ notebooks on different concepts, algorithms and techniques."
grobidOrg/grobid,5015,561,299,2012-09-13T15:48:54Z,2026-07-22T09:08:16Z,Java,Apache License 2.0,A machine learning software for extracting information from scholarly documents
dmMaze/BallonsTranslator,4966,334,234,2022-04-09T13:31:52Z,2026-07-21T18:29:13Z,Python,GNU General Public License v3.0,"深度学习辅助漫画翻译工具, 支持一键机翻和简单的图像/文本编辑 | Yet another computer-aided comic/manga translation tool powered by deeplearning"
transcranial/keras-js,4964,492,81,2016-09-30T14:40:35Z,2022-06-15T12:11:24Z,JavaScript,MIT License,"Run Keras models in the browser, with GPU support using WebGL"
goq/telegram-list,4961,842,23,2016-08-12T16:16:12Z,2025-09-20T10:37:33Z,,,"List of telegram groups, channels & bots // Список интересных групп, каналов и ботов телеграма // Список чатов для программистов"
huggingface/deep-rl-class,4960,805,138,2022-04-21T10:19:17Z,2026-05-26T10:31:58Z,MDX,Apache License 2.0,This repo contains the Hugging Face Deep Reinforcement Learning Course.
sktime/pytorch-forecasting,4958,875,776,2020-07-03T13:05:24Z,2026-07-21T08:03:48Z,Python,MIT License,Time series forecasting with PyTorch
camel-ai/oasis,4954,609,57,2024-11-13T05:20:49Z,2026-07-22T15:13:01Z,Python,Apache License 2.0,🏝️ OASIS: Open Agent Social Interaction Simulations with One Million Agents. 
microsoft/muzic,4934,501,115,2021-06-03T10:06:54Z,2024-10-12T07:58:40Z,Python,MIT License,Muzic: Music Understanding and Generation with Artificial Intelligence
mayocream/koharu,4924,307,143,2025-04-09T10:52:34Z,2026-07-22T02:28:26Z,Rust,GNU General Public License v3.0,"ML-powered manga translator, written in Rust."
minimaxir/textgenrnn,4922,731,145,2017-08-07T02:13:37Z,2022-07-17T19:07:49Z,Python,Other,Easily train your own text-generating neural network of any size and complexity on any text dataset with a few lines of code.
fastai/course-v3,4913,3473,53,2018-10-11T19:41:45Z,2024-05-21T09:10:37Z,Jupyter Notebook,Apache License 2.0,The 3rd edition of course.fast.ai
NVIDIA/nccl,4901,1348,394,2015-11-14T00:12:04Z,2026-07-22T14:58:39Z,C++,Other,Optimized primitives for collective multi-GPU communication
thunlp/OpenPrompt,4885,477,100,2021-09-30T09:38:45Z,2024-07-16T03:48:08Z,Python,Apache License 2.0,An Open-Source Framework for Prompt-Learning.
BoltzmannEntropy/interviews.ai,4882,325,10,2021-09-30T17:04:46Z,2025-08-22T07:13:40Z,,,"It is my belief that you, the postgraduate students and job-seekers for whom the book is primarily meant will benefit from reading it; however, it is my hope that even the most experienced researchers will find it fascinating as well."
PaddlePaddle/VisualDL,4879,634,157,2017-12-20T12:34:31Z,2025-01-22T06:02:52Z,HTML,Apache License 2.0,Deep Learning Visualization Toolkit（『飞桨』深度学习可视化工具 ）
KaiyangZhou/deep-person-reid,4877,1209,164,2018-03-11T21:14:39Z,2026-01-09T05:23:24Z,Python,MIT License,Torchreid: Deep learning person re-identification in PyTorch.
yanshengjia/ml-road,4874,1714,5,2017-10-31T04:36:37Z,2026-07-13T14:11:19Z,Python,MIT License,"Machine Learning and Agentic AI Resources, Practice and Research"
liuzhuang13/DenseNet,4864,1066,30,2016-08-24T21:32:52Z,2024-01-09T13:15:40Z,Lua,"BSD 3-Clause ""New"" or ""Revised"" License","Densely Connected Convolutional Networks, In CVPR 2017 (Best Paper Award)."
blei-lab/edward,4843,744,219,2016-02-10T20:06:05Z,2024-03-18T16:23:03Z,Jupyter Notebook,Other,"A probabilistic programming language in TensorFlow. Deep generative models, variational inference."
deepjavalibrary/djl,4835,752,224,2019-10-29T22:38:54Z,2026-07-15T17:05:06Z,Java,Apache License 2.0,An Engine-Agnostic Deep Learning Framework in Java
pytorch/executorch,4820,1085,1332,2022-02-25T17:58:31Z,2026-07-22T17:33:27Z,Python,Other,"On-device AI across mobile, embedded and edge for PyTorch"
Spandan-Madan/DeepLearningProject,4815,639,6,2017-07-12T16:03:24Z,2023-01-15T06:31:21Z,HTML,MIT License,An in-depth machine learning tutorial introducing readers to a whole machine learning pipeline from scratch.
idealo/image-super-resolution,4815,767,107,2018-11-26T13:41:13Z,2024-12-18T16:08:09Z,Python,Apache License 2.0,🔎 Super-scale your images and run experiments with Residual Dense and Adversarial Networks.
MegEngine/MegEngine,4807,549,173,2020-03-18T08:21:58Z,2024-10-24T10:10:58Z,C++,Apache License 2.0,MegEngine 是一个快速、可拓展、易于使用且支持自动求导的深度学习框架
rasbt/reasoning-from-scratch,4788,723,4,2025-03-04T14:24:26Z,2026-07-06T23:18:59Z,Jupyter Notebook,Apache License 2.0,"Implement a reasoning LLM in PyTorch from scratch, step by step"
weiaicunzai/pytorch-cifar100,4775,1206,60,2017-04-22T14:11:57Z,2024-07-15T16:58:28Z,Python,,"Practice on cifar100(ResNet, DenseNet, VGG, GoogleNet, InceptionV3, InceptionV4, Inception-ResNetv2, Xception, Resnet In Resnet, ResNext,ShuffleNet, ShuffleNetv2, MobileNet, MobileNetv2, SqueezeNet, NasNet, Residual Attention Network, SENet, WideResNet)"
pytorch/ignite,4769,708,185,2017-11-23T17:31:21Z,2026-07-22T15:30:24Z,Python,"BSD 3-Clause ""New"" or ""Revised"" License",High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.
INTERMT/Awesome-PyTorch-Chinese,4761,826,3,2019-05-01T07:16:27Z,2019-08-14T03:04:28Z,Python,MIT License,【干货】史上最全的PyTorch学习资源汇总
datawhalechina/competition-baseline,4756,1087,0,2019-12-03T06:16:55Z,2026-07-22T09:29:05Z,Jupyter Notebook,GNU General Public License v3.0,数据挖掘、计算机视觉、自然语言处理、推荐系统竞赛知识、代码、思路
open-mmlab/mmocr,4747,779,194,2021-04-07T13:40:21Z,2024-11-27T09:38:10Z,Python,Apache License 2.0,"OpenMMLab Text Detection, Recognition and Understanding Toolbox"
FluxML/Flux.jl,4728,623,189,2016-04-01T21:11:05Z,2026-07-21T12:27:07Z,Julia,Other,Relax! Flux is the ML library that doesn't make you tensor
andri27-ts/Reinforcement-Learning,4724,669,4,2018-08-28T11:04:16Z,2020-06-30T11:38:42Z,Jupyter Notebook,MIT License,Learn Deep Reinforcement Learning in 60 days! Lectures & Code in Python. Reinforcement Learning + Deep Learning
trigaten/Learn_Prompting,4714,669,100,2022-10-25T06:23:34Z,2025-01-14T15:04:07Z,MDX,Other,"Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community"
khanhnamle1994/cracking-the-data-science-interview,4709,1211,5,2018-08-09T07:57:57Z,2024-08-31T11:22:32Z,Jupyter Notebook,,"A Collection of Cheatsheets, Books, Questions, and Portfolio For DS/ML Interview Prep"
changyeyu/LLM-RL-Visualized,4691,450,3,2025-04-26T14:30:47Z,2026-07-16T08:45:23Z,Python,Other,🌟100+ 原创 LLM / RL 原理图📚，《大模型算法》作者巨献！💥（100+  LLM/RL Algorithm Maps ）
sanchit-gandhi/whisper-jax,4685,412,140,2023-03-02T12:30:52Z,2024-04-03T12:12:52Z,Jupyter Notebook,Apache License 2.0,JAX implementation of OpenAI's Whisper model for up to 70x speed-up on TPU.
cvg/LightGlue,4668,548,100,2023-06-25T09:39:51Z,2026-02-18T12:45:19Z,Python,Apache License 2.0,LightGlue: Local Feature Matching at Light Speed (ICCV 2023)
alirezadir/Production-Level-Deep-Learning,4653,686,7,2019-11-19T20:11:21Z,2025-06-13T01:52:26Z,,,A guideline for building practical production-level deep learning systems to be deployed in real world applications. 
google-deepmind/dm_control,4642,760,123,2017-12-29T18:13:15Z,2026-07-21T18:36:25Z,Python,Apache License 2.0,"Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo."
sweetice/Deep-reinforcement-learning-with-pytorch,4642,896,29,2018-06-09T01:43:02Z,2023-03-24T23:36:09Z,Python,MIT License,"PyTorch implementation of DQN, AC,  ACER, A2C, A3C, PG,  DDPG, TRPO, PPO, SAC, TD3 and ...."
r0f1/datascience,4641,716,1,2018-11-22T09:21:49Z,2026-06-05T06:31:12Z,,Creative Commons Zero v1.0 Universal,Curated list of Python resources for data science.
Tencent/TNN,4640,772,318,2020-05-29T07:20:28Z,2025-05-09T07:33:14Z,C++,Other,"TNN: developed by Tencent Youtu Lab and Guangying Lab, a uniform deep learning inference framework for mobile、desktop and server. TNN is distinguished by several outstanding features, including its cross-platform capability, high performance, model compression and code pruning. Based on ncnn and Rapidnet, TNN further strengthens the support and performance optimization for mobile devices, and also draws on the advantages of good extensibility and high performance from existed open source efforts. TNN has been deployed in multiple Apps from Tencent, such as Mobile QQ, Weishi, Pitu, etc. Contributions are welcome to work in collaborative with us and make TNN a better framework. "
instillai/deep-learning-roadmap,4639,658,2,2019-01-07T05:03:26Z,2022-12-22T12:18:32Z,Python,MIT License,:satellite: All You Need to Know About Deep Learning - A kick-starter
huggingface/autotrain-advanced,4594,627,7,2020-12-15T18:23:25Z,2026-07-21T09:55:09Z,Python,Apache License 2.0,🤗 AutoTrain Advanced
kyegomez/tree-of-thoughts,4590,375,21,2023-05-21T03:50:19Z,2025-07-29T05:16:50Z,Python,Apache License 2.0,Plug in and Play Implementation of Tree of Thoughts: Deliberate Problem Solving with Large Language Models that Elevates Model Reasoning by atleast 70% 
OpenNMT/CTranslate2,4580,502,273,2019-09-23T08:10:42Z,2026-07-03T12:39:06Z,C++,MIT License,Fast inference engine for Transformer models
fundamentalvision/BEVFormer,4550,742,184,2022-03-30T12:32:32Z,2024-08-15T05:08:16Z,Python,Apache License 2.0,"[ECCV 2022] This is the official implementation of BEVFormer, a camera-only framework for autonomous driving perception, e.g., 3D object detection and semantic map segmentation."
LLMBook-zh/LLMBook-zh.github.io,4531,339,13,2024-04-15T02:50:32Z,2025-09-02T05:29:52Z,Python,,《大语言模型》作者：赵鑫，李军毅，周昆，唐天一，文继荣
RUCAIBox/RecBole,4520,746,359,2020-06-11T15:18:11Z,2025-02-24T07:16:41Z,Python,MIT License,"A unified, comprehensive and efficient recommendation library"
luban-agi/Awesome-AIGC-Tutorials,4520,303,10,2023-08-22T07:22:52Z,2024-03-31T09:18:04Z,,MIT License,"Curated tutorials and resources for Large Language Models, AI Painting, and more. "
NVlabs/tiny-cuda-nn,4513,572,246,2021-04-16T17:53:10Z,2026-04-21T11:57:48Z,C++,Other,Lightning fast C++/CUDA neural network framework
nianticlabs/monodepth2,4500,987,32,2019-05-02T14:17:17Z,2024-08-10T22:20:36Z,Jupyter Notebook,Other,[ICCV 2019] Monocular depth estimation from a single image
Rikorose/DeepFilterNet,4492,491,58,2021-10-10T17:32:57Z,2024-10-17T08:35:11Z,Python,Other,Noise supression using deep filtering
astorfi/TensorFlow-World,4492,405,3,2017-03-24T22:19:05Z,2020-12-23T00:18:21Z,Python,MIT License,:earth_americas: Simple and ready-to-use tutorials for TensorFlow
suragnair/alpha-zero-general,4483,1152,74,2017-12-01T02:55:15Z,2025-01-01T19:59:02Z,Jupyter Notebook,MIT License,A clean implementation based on AlphaZero for any game in any framework + tutorial + Othello/Gobang/TicTacToe/Connect4 and more
leoxiaobin/deep-high-resolution-net.pytorch,4478,922,209,2019-02-25T03:21:43Z,2024-08-30T23:46:48Z,Cuda,MIT License,"The project is an official implementation of our CVPR2019 paper ""Deep High-Resolution Representation Learning for Human Pose Estimation"""
zjunlp/DeepKE,4448,746,0,2018-08-01T01:54:52Z,2026-07-13T16:40:58Z,Python,MIT License,[EMNLP 2022] An Open Toolkit for Knowledge Graph Extraction and Construction
rom1504/img2dataset,4436,376,145,2021-08-11T20:20:15Z,2025-10-19T21:22:50Z,Python,MIT License,"Easily turn large sets of image urls to an image dataset. Can download, resize and package 100M urls in 20h on one machine."
mosaicml/llm-foundry,4431,588,67,2023-04-28T22:33:27Z,2026-03-25T17:22:01Z,Python,Apache License 2.0,LLM training code for Databricks foundation models
microsoft/VoTT,4429,836,246,2016-12-29T13:32:23Z,2021-12-06T21:10:56Z,TypeScript,MIT License,Visual Object Tagging Tool: An electron app for building end to end Object Detection Models from Images and Videos. 
tensorflow/probability,4421,1125,725,2017-10-23T23:50:54Z,2026-07-07T13:06:55Z,Jupyter Notebook,Apache License 2.0,Probabilistic reasoning and statistical analysis in TensorFlow
opendilab/awesome-RLHF,4416,258,6,2023-02-13T11:19:23Z,2026-05-20T12:56:15Z,,Apache License 2.0,A curated list of reinforcement learning with human feedback resources (continually updated)
Azure/MachineLearningNotebooks,4415,2573,400,2018-08-17T17:29:14Z,2025-03-14T16:42:02Z,Jupyter Notebook,MIT License,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft
truefoundry/cognita,4412,391,22,2023-07-26T13:08:54Z,2026-03-13T15:04:36Z,Python,Apache License 2.0,"RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry "
wzhe06/Ad-papers,4400,1185,2,2016-08-07T08:26:26Z,2021-02-09T04:23:27Z,Python,MIT License,Papers on Computational Advertising
HumanSignal/awesome-data-labeling,4384,477,57,2019-06-19T02:03:37Z,2024-06-17T06:18:41Z,,,A curated list of awesome data labeling tools
microsoft/FLAML,4379,558,180,2020-08-20T20:46:11Z,2026-07-21T12:13:44Z,Jupyter Notebook,MIT License,A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.
ahkarami/Deep-Learning-in-Production,4377,686,7,2018-05-03T10:24:24Z,2024-11-09T07:57:41Z,,,"In this repository, I will share some useful notes and references about deploying deep learning-based models in production."
janhuenermann/neurojs,4373,362,6,2016-09-18T23:33:53Z,2023-10-10T12:55:04Z,JavaScript,MIT License,A JavaScript deep learning and reinforcement learning library.
onnxsim/onnxsim,4371,432,21,2019-04-01T10:12:34Z,2026-07-22T16:29:52Z,C++,Apache License 2.0,Simplify your onnx model
dsgiitr/d2l-pytorch,4357,1235,17,2019-05-11T04:35:20Z,2024-07-25T11:01:42Z,Jupyter Notebook,Apache License 2.0,"This project reproduces the book Dive Into Deep Learning (https://d2l.ai/), adapting the code from MXNet into PyTorch."
pytorch/serve,4350,881,443,2019-10-03T03:17:43Z,2025-08-06T19:17:08Z,Java,Apache License 2.0,"Serve, optimize and scale PyTorch models in production"
modelscope/ClearerVoice-Studio,4319,354,90,2024-11-12T07:26:34Z,2025-08-14T08:26:31Z,Python,Apache License 2.0,"An AI-Powered Speech Processing Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Enhancement, Separation, and Target Speaker Extraction, etc."
lucidrains/deep-daze,4318,311,91,2021-01-17T06:00:50Z,2022-03-13T19:09:13Z,Python,MIT License,Simple command line tool for text to image generation using OpenAI's CLIP and Siren (Implicit neural representation network). Technique was originally created by https://twitter.com/advadnoun
amanchadha/coursera-deep-learning-specialization,4315,2667,32,2020-06-24T05:59:01Z,2026-06-10T22:37:15Z,Jupyter Notebook,,"Notes, programming assignments and quizzes from all courses within the Coursera Deep Learning specialization offered by deeplearning.ai: (i) Neural Networks and Deep Learning; (ii) Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization; (iii) Structuring Machine Learning Projects; (iv) Convolutional Neural Networks; (v) Sequence Models"
lululxvi/deepxde,4315,990,319,2019-02-08T02:19:14Z,2026-06-24T14:33:39Z,Python,GNU Lesser General Public License v2.1,A library for scientific machine learning and physics-informed learning
Moataz-Elmesmary/Data-Science-Roadmap,4313,610,0,2022-04-17T13:40:19Z,2025-12-06T20:01:50Z,,MIT License,Data Science Roadmap from A to Z
ourownstory/neural_prophet,4292,513,89,2020-05-04T05:12:43Z,2025-01-08T20:48:50Z,Python,MIT License,NeuralProphet: A simple forecasting package
richzhang/PerceptualSimilarity,4255,524,59,2018-01-11T01:43:21Z,2024-07-02T17:30:14Z,Python,"BSD 2-Clause ""Simplified"" License",LPIPS metric. pip install lpips
apachecn/pytorch-doc-zh,4225,987,2,2018-01-08T08:28:04Z,2026-01-07T10:27:08Z,Shell,,Pytorch 中文文档
Nixtla/neuralforecast,4211,500,11,2021-04-26T00:15:19Z,2026-07-22T13:47:03Z,Python,Apache License 2.0,Scalable and user friendly neural :brain: forecasting algorithms.
metavoiceio/metavoice-src,4203,693,64,2024-02-06T17:04:29Z,2024-07-30T22:13:01Z,Python,Apache License 2.0,"Foundational model for human-like, expressive TTS"
ModelTC/LightLLM,4186,344,147,2023-07-22T08:11:15Z,2026-07-22T13:49:12Z,Python,Apache License 2.0,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance."
dalinvip/Awesome-ChatGPT,4184,384,5,2023-02-06T11:57:37Z,2025-06-04T23:58:00Z,,,ChatGPT资料汇总学习，持续更新......
NVIDIA/DIGITS,4178,1363,625,2015-03-17T16:00:20Z,2025-01-07T04:34:44Z,HTML,"BSD 3-Clause ""New"" or ""Revised"" License",Deep Learning GPU Training System
cvg/Hierarchical-Localization,4158,767,161,2020-07-16T07:25:35Z,2025-12-10T10:00:19Z,Python,Apache License 2.0,Visual localization made easy with hloc
WeThinkIn/AIGC-Interview-Book,4157,436,0,2023-10-14T16:15:40Z,2026-07-21T13:40:57Z,,GNU General Public License v3.0,【三年面试五年模拟】AIGC/LLM/AI Agent算法工程师面试秘籍。涵盖AIGC、LLM大模型、AI Agent、具身智能、传统深度学习、自动驾驶、机器学习、计算机视觉、自然语言处理、强化学习、大数据挖掘、世界模型、元宇宙、AGI等AI行业面试笔试干货经验与核心知识。
torchgeo/torchgeo,4116,562,228,2021-05-21T05:58:56Z,2026-07-22T15:58:01Z,Python,MIT License,"TorchGeo: datasets, samplers, transforms, and pre-trained models for geospatial data"
mlfoundations/open_flamingo,4115,321,51,2022-10-20T00:32:35Z,2024-08-31T23:11:03Z,Python,MIT License,An open-source framework for training large multimodal models.
balancap/SSD-Tensorflow,4102,1835,295,2017-01-18T13:45:38Z,2021-08-12T11:13:20Z,Jupyter Notebook,,Single Shot MultiBox Detector in TensorFlow
Charmve/Surface-Defect-Detection,4083,605,16,2020-09-27T07:47:25Z,2024-05-27T02:43:28Z,Python,MIT License,📈 目前最大的工业缺陷检测数据库及论文集 Constantly summarizing open source dataset and critical papers in the field of surface defect research which are of great importance.  
huggingface/course,4079,1371,492,2021-08-13T14:41:45Z,2026-07-06T10:02:48Z,MDX,Apache License 2.0,The Hugging Face course on Transformers
SwanHubX/SwanLab,4079,212,58,2023-11-24T08:54:45Z,2026-07-16T07:13:47Z,Python,Apache License 2.0,"⚡️SwanLab - an open-source, modern-design AI training tracking and visualization tool. Supports Cloud / Self-hosted use. Integrated with PyTorch / Transformers / verl / LLaMA Factory / ms-swift / Ultralytics / MMEngine / Keras etc."
opengeos/segment-geospatial,4075,435,8,2023-04-19T03:03:52Z,2026-07-20T20:29:19Z,Python,MIT License,A Python package for segmenting geospatial data with the Segment Anything Model (SAM)
google-deepmind/learning-to-learn,4067,602,15,2016-12-06T08:25:37Z,2021-06-29T09:55:15Z,Python,Apache License 2.0,Learning to Learn in TensorFlow
aadi1011/AI-ML-Roadmap-from-scratch,4061,766,4,2024-05-26T05:26:18Z,2026-05-03T11:16:20Z,,MIT License,"Become skilled in Artificial Intelligence, Machine Learning, Generative AI, Deep Learning, Data Science, Natural Language Processing, Reinforcement Learning and more with this complete 0 to 100 repository."
magicleap/SuperGluePretrainedNetwork,4054,760,59,2020-03-17T19:32:12Z,2024-08-30T23:50:47Z,Python,Other,"SuperGlue: Learning Feature Matching with Graph Neural Networks (CVPR 2020, Oral)"
FedML-AI/FedML,4053,765,147,2020-07-21T22:41:25Z,2025-10-28T12:44:12Z,Python,Apache License 2.0,"FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, TensorOpera AI (https://TensorOpera.ai) is your generative AI platform at scale."
sksq96/pytorch-summary,4053,409,141,2018-04-23T13:58:04Z,2024-03-02T15:10:25Z,Python,MIT License,Model summary in PyTorch similar to `model.summary()` in Keras
deepchecks/deepchecks,4039,302,264,2021-10-11T14:48:38Z,2025-12-28T12:07:44Z,Python,Other,"Deepchecks: Tests for Continuous Validation of ML Models & Data. Deepchecks is a holistic open-source solution for all of your AI & ML validation needs, enabling to thoroughly test your data and models from research to production."
kenshohara/3D-ResNets-PyTorch,4036,926,154,2017-09-14T12:14:44Z,2021-01-20T20:31:36Z,Python,MIT License,3D ResNets for Action Recognition (CVPR 2018)
minivision-ai/photo2cartoon,4029,766,12,2020-04-17T08:24:26Z,2022-06-12T08:57:21Z,Python,MIT License,人像卡通化探索项目 (photo-to-cartoon translation project)
uxlfoundation/oneDNN,4025,1162,168,2016-05-09T23:26:42Z,2026-07-22T17:15:54Z,C++,Apache License 2.0,oneAPI Deep Neural Network Library (oneDNN)
